RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 8.787658410143284e-05, 'min_samples_leaf': 21}	{'max_depth': 3}	{'C': 12.640420246216818, 'penalty': 'l1'}	{'var_smoothing': 0.048522001006445874}	{'max_depth': 3}	{'C': 12.92123709016585, 'penalty': 'l2'}	{'var_smoothing': 0.01749027103115263}	{'alpha': 1.4491894425039589, 'batch_size': 500, 'power_t': 2.7526094230541496}
{'min_impurity_decrease': 0.007447660735453599, 'min_samples_leaf': 31}	{'max_depth': 3}	{'C': 10.147384797454668, 'penalty': 'l2'}	{'var_smoothing': 0.26454219882203445}	{'max_depth': 3}	{'C': 19.585581324675676, 'penalty': 'l2'}	{'var_smoothing': 0.19639041731452456}	{'alpha': 2.1385094290071263, 'batch_size': 500, 'power_t': 0.37425920207484864}
{'min_impurity_decrease': 0.0075722066595136925, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 2.4778674136020804, 'penalty': 'l2'}	{'var_smoothing': 0.0035455469097308485}	{'max_depth': 3}	{'C': 11.088820450011728, 'penalty': 'l2'}	{'var_smoothing': 0.29485946110158046}	{'alpha': 1.1790344505878156, 'batch_size': 300, 'power_t': 0.09716755334396276}
{'min_impurity_decrease': 0.006173275747005459, 'min_samples_leaf': 33}	{'max_depth': 3}	{'C': 18.6679204613451, 'penalty': 'l2'}	{'var_smoothing': 0.10497708378510905}	{'max_depth': 3}	{'C': 4.684531804442514, 'penalty': 'l2'}	{'var_smoothing': 0.06674229357027071}	{'alpha': 1.2199001064379058, 'batch_size': 500, 'power_t': 0.9328838556944372}
{'min_impurity_decrease': 0.0006857384821418412, 'min_samples_leaf': 2}	{'max_depth': 3}	{'C': 6.226595995127106, 'penalty': 'l2'}	{'var_smoothing': 0.08731954808960006}	{'max_depth': 3}	{'C': 19.974731905030147, 'penalty': 'l2'}	{'var_smoothing': 0.12050631879350591}	{'alpha': 0.7228477807405318, 'batch_size': 500, 'power_t': 2.341473781497881}
{'min_impurity_decrease': 0.013415000147746449, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 3.481783266932984, 'penalty': 'l2'}	{'var_smoothing': 0.2735065344522666}	{'max_depth': 3}	{'C': 14.64410003866012, 'penalty': 'l2'}	{'var_smoothing': 0.17515452342402305}	{'alpha': 0.5094307754084507, 'batch_size': 400, 'power_t': 2.492299267703703}
{'min_impurity_decrease': 0.012639840209929478, 'min_samples_leaf': 1}	{'max_depth': 3}	{'C': 14.790016757165947, 'penalty': 'l2'}	{'var_smoothing': 0.3072410094435699}	{'max_depth': 3}	{'C': 14.494753527986953, 'penalty': 'l2'}	{'var_smoothing': 0.03895696467464382}	{'alpha': 0.6782089874442302, 'batch_size': 400, 'power_t': 0.007265129763087018}
{'min_impurity_decrease': 0.008285187305032849, 'min_samples_leaf': 3}	{'max_depth': 3}	{'C': 10.878098835819308, 'penalty': 'l2'}	{'var_smoothing': 0.028474226578096944}	{'max_depth': 3}	{'C': 13.560888609866721, 'penalty': 'l2'}	{'var_smoothing': 0.14792062444808474}	{'alpha': 1.2443886040829768, 'batch_size': 500, 'power_t': 0.21159485871984518}
{'min_impurity_decrease': 0.004783965236565269, 'min_samples_leaf': 19}	{'max_depth': 3}	{'C': 10.210397756708998, 'penalty': 'l1'}	{'var_smoothing': 0.09296837672230705}	{'max_depth': 3}	{'C': 7.567248793417654, 'penalty': 'l2'}	{'var_smoothing': 0.054805740382408256}	{'alpha': 0.4877692660109631, 'batch_size': 500, 'power_t': 2.511056167040293}
{'min_impurity_decrease': 0.00753743360484639, 'min_samples_leaf': 22}	{'max_depth': 3}	{'C': 15.400529916494804, 'penalty': 'l2'}	{'var_smoothing': 0.04540221017700707}	{'max_depth': 3}	{'C': 19.30564111526844, 'penalty': 'l2'}	{'var_smoothing': 0.2031963729045595}	{'alpha': 1.128686057974901, 'batch_size': 500, 'power_t': 1.7439406297689017}
