RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.006820628846711264, 'min_samples_leaf': 28}	{'max_depth': 3}	{'C': 3.7387252136774527, 'penalty': 'l1'}	{'var_smoothing': 0.18836204849738158}	{'max_depth': 3}	{'C': 14.472554678467715, 'penalty': 'l1'}	{'var_smoothing': 0.2415552583635281}	{'alpha': 9.27844960783881, 'batch_size': 200, 'power_t': 1.1126914132940047}
{'min_impurity_decrease': 0.017927188556402164, 'min_samples_leaf': 12}	{'max_depth': 3}	{'C': 9.888072498177904, 'penalty': 'l1'}	{'var_smoothing': 0.2704226170920814}	{'max_depth': 3}	{'C': 1.7044876148290966, 'penalty': 'l1'}	{'var_smoothing': 0.17244475307715024}	{'alpha': 7.375952285959086, 'batch_size': 500, 'power_t': 1.3682939644824503}
{'min_impurity_decrease': 0.00618002142962545, 'min_samples_leaf': 37}	{'max_depth': 3}	{'C': 1.7927585045699523, 'penalty': 'l1'}	{'var_smoothing': 0.2991720194952575}	{'max_depth': 3}	{'C': 3.5898621190037603, 'penalty': 'l1'}	{'var_smoothing': 0.009358613907764704}	{'alpha': 1.9586383849144975, 'batch_size': 500, 'power_t': 3.8548211882939687}
{'min_impurity_decrease': 0.00337332620613794, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 17.37765519502388, 'penalty': 'l1'}	{'var_smoothing': 0.10996450224714004}	{'max_depth': 3}	{'C': 4.5334060456403344, 'penalty': 'l1'}	{'var_smoothing': 0.1290569976574707}	{'alpha': 0.9246038803872217, 'batch_size': 500, 'power_t': 1.2466209140083528}
{'min_impurity_decrease': 0.09556788699587286, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 1.385073321044209, 'penalty': 'l1'}	{'var_smoothing': 0.15418993572512762}	{'max_depth': 3}	{'C': 10.575745870583958, 'penalty': 'l1'}	{'var_smoothing': 0.12733930748304445}	{'alpha': 0.3764100265389239, 'batch_size': 200, 'power_t': 3.5352483860196298}
{'min_impurity_decrease': 0.015214402256798567, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 0.7310934659968693, 'penalty': 'l1'}	{'var_smoothing': 0.001984627416002574}	{'max_depth': 3}	{'C': 13.749727872640849, 'penalty': 'l1'}	{'var_smoothing': 0.04947787875251585}	{'alpha': 1.2536044943170812, 'batch_size': 400, 'power_t': 3.4223758858525035}
{'min_impurity_decrease': 0.05897124439865226, 'min_samples_leaf': 8}	{'max_depth': 3}	{'C': 12.906288166237806, 'penalty': 'l1'}	{'var_smoothing': 0.01275817260284894}	{'max_depth': 3}	{'C': 8.621580261506656, 'penalty': 'l1'}	{'var_smoothing': 0.01067151202244753}	{'alpha': 2.0119325282994387, 'batch_size': 100, 'power_t': 0.34401349027905215}
{'min_impurity_decrease': 0.002241506671286732, 'min_samples_leaf': 16}	{'max_depth': 3}	{'C': 0.5250908943886412, 'penalty': 'l1'}	{'var_smoothing': 0.012868127571340251}	{'max_depth': 3}	{'C': 4.300747250399169, 'penalty': 'l1'}	{'var_smoothing': 0.005622118946120627}	{'alpha': 1.0270113543348882, 'batch_size': 500, 'power_t': 0.3504551813217389}
{'min_impurity_decrease': 0.0034431080022059427, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 3.1334607115932442, 'penalty': 'l1'}	{'var_smoothing': 0.0016341864515990651}	{'max_depth': 3}	{'C': 0.3173377940781996, 'penalty': 'l1'}	{'var_smoothing': 0.3577356879948065}	{'alpha': 6.074873999677697, 'batch_size': 500, 'power_t': 2.129108941539404}
{'min_impurity_decrease': 0.0012177623508806035, 'min_samples_leaf': 36}	{'max_depth': 3}	{'C': 2.231996892670974, 'penalty': 'l1'}	{'var_smoothing': 0.14800000750638853}	{'max_depth': 3}	{'C': 7.956140731886428, 'penalty': 'l1'}	{'var_smoothing': 0.05998797879811368}	{'alpha': 3.4478884391859856, 'batch_size': 200, 'power_t': 0.35747957874850145}
{'min_impurity_decrease': 0.028221377963482588, 'min_samples_leaf': 1}	{'max_depth': 3}	{'C': 9.470333981913948, 'penalty': 'l1'}	{'var_smoothing': 0.2183759629570866}	{'max_depth': 3}	{'C': 10.993207534613484, 'penalty': 'l1'}	{'var_smoothing': 0.2392723707837543}	{'alpha': 7.6770799868287165, 'batch_size': 500, 'power_t': 4.722190943895776}
{'min_impurity_decrease': 0.07257917679510131, 'min_samples_leaf': 24}	{'max_depth': 3}	{'C': 4.673228667323129, 'penalty': 'l1'}	{'var_smoothing': 0.028287768756584557}	{'max_depth': 3}	{'C': 10.646846784484694, 'penalty': 'l1'}	{'var_smoothing': 0.13296446805449402}	{'alpha': 4.877387100677904, 'batch_size': 200, 'power_t': 2.8273846925071737}
{'min_impurity_decrease': 0.003355790654322123, 'min_samples_leaf': 13}	{'max_depth': 3}	{'C': 6.33501924893833, 'penalty': 'l1'}	{'var_smoothing': 0.04264938424287656}	{'max_depth': 3}	{'C': 3.6082594169453373, 'penalty': 'l1'}	{'var_smoothing': 0.32326224083763244}	{'alpha': 0.39528533672710836, 'batch_size': 500, 'power_t': 3.5537932816663957}
{'min_impurity_decrease': 0.001026008354243092, 'min_samples_leaf': 46}	{'max_depth': 3}	{'C': 2.3920392969355295, 'penalty': 'l1'}	{'var_smoothing': 0.14360865465035455}	{'max_depth': 3}	{'C': 11.074625834415766, 'penalty': 'l1'}	{'var_smoothing': 0.24287220574480217}	{'alpha': 1.6028847690310213, 'batch_size': 500, 'power_t': 3.1079487632892415}
{'min_impurity_decrease': 0.008789271803562539, 'min_samples_leaf': 39}	{'max_depth': 3}	{'C': 3.6497196721245193, 'penalty': 'l1'}	{'var_smoothing': 0.1372514680593071}	{'max_depth': 3}	{'C': 3.0749798265004333, 'penalty': 'l1'}	{'var_smoothing': 0.10681279947948662}	{'alpha': 7.4712122507799, 'batch_size': 500, 'power_t': 0.44207942548763324}
{'min_impurity_decrease': 0.0042558382956920165, 'min_samples_leaf': 2}	{'max_depth': 3}	{'C': 9.083664032604727, 'penalty': 'l1'}	{'var_smoothing': 0.1415150728809732}	{'max_depth': 3}	{'C': 2.2887409143284563, 'penalty': 'l1'}	{'var_smoothing': 0.0206448299263775}	{'alpha': 1.8292596422905552, 'batch_size': 400, 'power_t': 4.67202243355816}
{'min_impurity_decrease': 0.008997433925436728, 'min_samples_leaf': 23}	{'max_depth': 3}	{'C': 2.081004888530914, 'penalty': 'l1'}	{'var_smoothing': 0.10056295145530413}	{'max_depth': 3}	{'C': 15.1052943961314, 'penalty': 'l1'}	{'var_smoothing': 0.007994393079136288}	{'alpha': 8.696740826130068, 'batch_size': 500, 'power_t': 2.458101600262156}
{'min_impurity_decrease': 0.003273836979912349, 'min_samples_leaf': 13}	{'max_depth': 3}	{'C': 1.439900827503261, 'penalty': 'l1'}	{'var_smoothing': 0.08845230349852072}	{'max_depth': 3}	{'C': 14.640806519037875, 'penalty': 'l1'}	{'var_smoothing': 0.060049835740943684}	{'alpha': 7.472070746426332, 'batch_size': 500, 'power_t': 0.46810502794278075}
{'min_impurity_decrease': 0.003292550570293419, 'min_samples_leaf': 30}	{'max_depth': 3}	{'C': 16.052262293981652, 'penalty': 'l1'}	{'var_smoothing': 0.16509841578979412}	{'max_depth': 3}	{'C': 3.5688996244191427, 'penalty': 'l1'}	{'var_smoothing': 0.14408622029148177}	{'alpha': 0.2833201327935955, 'batch_size': 200, 'power_t': 3.52170978002709}
{'min_impurity_decrease': 0.002256973311864986, 'min_samples_leaf': 8}	{'max_depth': 3}	{'C': 1.5805663489038813, 'penalty': 'l1'}	{'var_smoothing': 0.02024248273105799}	{'max_depth': 3}	{'C': 5.5273395078149, 'penalty': 'l1'}	{'var_smoothing': 0.05080804329939247}	{'alpha': 4.571188437608773, 'batch_size': 500, 'power_t': 0.4119200389438783}
