RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.006820628846711264, 'min_samples_leaf': 28}	{'max_depth': 3}	{'C': 13.100274765301771, 'penalty': 'l1'}	{'var_smoothing': 0.973649118052793}	{'max_depth': 3}	{'C': 16.468854574303556, 'penalty': 'l1'}	{'var_smoothing': 0.9717542629726859}	{'alpha': 6.435719422889736, 'batch_size': 200, 'power_t': 3.0736901166912243}
{'min_impurity_decrease': 0.017927188556402164, 'min_samples_leaf': 12}	{'max_depth': 3}	{'C': 19.04054391058243, 'penalty': 'l1'}	{'var_smoothing': 0.9273012958136265}	{'max_depth': 3}	{'C': 14.034242819548927, 'penalty': 'l1'}	{'var_smoothing': 0.990037717827819}	{'alpha': 3.2693431679364906, 'batch_size': 200, 'power_t': 4.806502753295741}
{'min_impurity_decrease': 0.00618002142962545, 'min_samples_leaf': 37}	{'max_depth': 3}	{'C': 18.87025799915334, 'penalty': 'l1'}	{'var_smoothing': 0.9034822145192744}	{'max_depth': 3}	{'C': 19.257919804207834, 'penalty': 'l1'}	{'var_smoothing': 0.8976572265432696}	{'alpha': 1.9586383849144975, 'batch_size': 500, 'power_t': 3.8548211882939687}
{'min_impurity_decrease': 0.00337332620613794, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 17.37765519502388, 'penalty': 'l1'}	{'var_smoothing': 0.9039504112255635}	{'max_depth': 3}	{'C': 8.497901372529222, 'penalty': 'l1'}	{'var_smoothing': 0.9964346829007859}	{'alpha': 0.9246038803872217, 'batch_size': 500, 'power_t': 1.2466209140083528}
{'min_impurity_decrease': 0.027780322917214974, 'min_samples_leaf': 41}	{'max_depth': 3}	{'C': 3.206529833413699, 'penalty': 'l1'}	{'var_smoothing': 0.9564737354866564}	{'max_depth': 3}	{'C': 15.725910742725505, 'penalty': 'l1'}	{'var_smoothing': 0.9294235947326488}	{'alpha': 0.3764100265389239, 'batch_size': 200, 'power_t': 3.5352483860196298}
{'min_impurity_decrease': 0.015214402256798567, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 12.879503875844756, 'penalty': 'l1'}	{'var_smoothing': 0.567489979564939}	{'max_depth': 3}	{'C': 16.893425080842906, 'penalty': 'l1'}	{'var_smoothing': 0.8949921407656779}	{'alpha': 0.4786411707008345, 'batch_size': 300, 'power_t': 3.9488976185634352}
{'min_impurity_decrease': 0.020079864725716313, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 19.911297253008552, 'penalty': 'l1'}	{'var_smoothing': 0.8836602645774937}	{'max_depth': 3}	{'C': 19.463600580670295, 'penalty': 'l1'}	{'var_smoothing': 0.9460886878557239}	{'alpha': 0.5645893032942654, 'batch_size': 500, 'power_t': 2.21423536679896}
{'min_impurity_decrease': 0.002241506671286732, 'min_samples_leaf': 16}	{'max_depth': 3}	{'C': 18.624120312990936, 'penalty': 'l1'}	{'var_smoothing': 0.9695770091838124}	{'max_depth': 3}	{'C': 16.571246501653587, 'penalty': 'l1'}	{'var_smoothing': 0.7322435157360165}	{'alpha': 0.508820394989428, 'batch_size': 300, 'power_t': 1.16416451641431}
{'min_impurity_decrease': 0.0034431080022059427, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 17.56841612364752, 'penalty': 'l1'}	{'var_smoothing': 0.9948835734268846}	{'max_depth': 3}	{'C': 16.12942225643822, 'penalty': 'l1'}	{'var_smoothing': 0.9693154448324077}	{'alpha': 0.275446412189653, 'batch_size': 300, 'power_t': 3.5076951033319106}
{'min_impurity_decrease': 0.0012177623508806035, 'min_samples_leaf': 36}	{'max_depth': 3}	{'C': 13.961093179033922, 'penalty': 'l1'}	{'var_smoothing': 0.9835880736074251}	{'max_depth': 3}	{'C': 14.944370276303404, 'penalty': 'l1'}	{'var_smoothing': 0.9928723635015974}	{'alpha': 0.5293896845298843, 'batch_size': 300, 'power_t': 1.8348245778203371}
