RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.006820628846711264, 'min_samples_leaf': 28}	{'max_depth': 3}	{'C': 1.989002315967564, 'penalty': 'l1'}	{'var_smoothing': 0.18836204849738158}	{'max_depth': 3}	{'C': 16.468854574303556, 'penalty': 'l1'}	{'var_smoothing': 0.2415552583635281}	{'alpha': 0.9869121640622517, 'batch_size': 100, 'power_t': 2.3297820101364564}
{'min_impurity_decrease': 0.017927188556402164, 'min_samples_leaf': 12}	{'max_depth': 3}	{'C': 9.888072498177904, 'penalty': 'l1'}	{'var_smoothing': 0.2704226170920814}	{'max_depth': 3}	{'C': 14.034242819548927, 'penalty': 'l1'}	{'var_smoothing': 0.17244475307715024}	{'alpha': 2.0827696040804935, 'batch_size': 300, 'power_t': 1.345477977461238}
{'min_impurity_decrease': 0.00618002142962545, 'min_samples_leaf': 37}	{'max_depth': 3}	{'C': 1.7927585045699523, 'penalty': 'l1'}	{'var_smoothing': 0.2991720194952575}	{'max_depth': 3}	{'C': 19.257919804207834, 'penalty': 'l1'}	{'var_smoothing': 0.11338369003483516}	{'alpha': 0.43821538057617376, 'batch_size': 100, 'power_t': 0.11144830809078365}
{'min_impurity_decrease': 0.00337332620613794, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 5.8175925049558455, 'penalty': 'l2'}	{'var_smoothing': 0.10996450224714004}	{'max_depth': 3}	{'C': 8.497901372529222, 'penalty': 'l1'}	{'var_smoothing': 0.1290569976574707}	{'alpha': 0.9246038803872217, 'batch_size': 500, 'power_t': 1.2466209140083528}
{'min_impurity_decrease': 0.027780322917214974, 'min_samples_leaf': 41}	{'max_depth': 3}	{'C': 3.206529833413699, 'penalty': 'l1'}	{'var_smoothing': 0.19146469331860327}	{'max_depth': 3}	{'C': 15.725910742725505, 'penalty': 'l1'}	{'var_smoothing': 0.12733930748304445}	{'alpha': 0.3764100265389239, 'batch_size': 200, 'power_t': 3.5352483860196298}
{'min_impurity_decrease': 0.015214402256798567, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 12.879503875844756, 'penalty': 'l1'}	{'var_smoothing': 0.17812507915406706}	{'max_depth': 3}	{'C': 16.893425080842906, 'penalty': 'l1'}	{'var_smoothing': 0.15307302324038874}	{'alpha': 0.4786411707008345, 'batch_size': 300, 'power_t': 3.9488976185634352}
{'min_impurity_decrease': 0.020079864725716313, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 19.911297253008552, 'penalty': 'l1'}	{'var_smoothing': 0.1782361893046347}	{'max_depth': 3}	{'C': 19.463600580670295, 'penalty': 'l1'}	{'var_smoothing': 0.5075842911418212}	{'alpha': 0.5645893032942654, 'batch_size': 500, 'power_t': 2.21423536679896}
{'min_impurity_decrease': 0.002241506671286732, 'min_samples_leaf': 16}	{'max_depth': 3}	{'C': 7.373704755792515, 'penalty': 'l1'}	{'var_smoothing': 0.2464061652889894}	{'max_depth': 3}	{'C': 15.141637204251902, 'penalty': 'l1'}	{'var_smoothing': 0.19437742727371943}	{'alpha': 0.508820394989428, 'batch_size': 300, 'power_t': 1.16416451641431}
{'min_impurity_decrease': 0.0034431080022059427, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 8.935266707389173, 'penalty': 'l1'}	{'var_smoothing': 0.19126800699534796}	{'max_depth': 3}	{'C': 15.096183510780413, 'penalty': 'l1'}	{'var_smoothing': 0.3577356879948065}	{'alpha': 0.275446412189653, 'batch_size': 300, 'power_t': 3.5076951033319106}
{'min_impurity_decrease': 0.0012177623508806035, 'min_samples_leaf': 36}	{'max_depth': 3}	{'C': 2.9975122989213707, 'penalty': 'l1'}	{'var_smoothing': 0.14800000750638853}	{'max_depth': 3}	{'C': 14.944370276303404, 'penalty': 'l1'}	{'var_smoothing': 0.2812941105619359}	{'alpha': 0.5293896845298843, 'batch_size': 300, 'power_t': 1.8348245778203371}
