RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.02019798794246912, 'min_samples_leaf': 5}	{'max_depth': 2}	{'C': 9.711544342739742, 'penalty': 'l2'}	{'var_smoothing': 0.973649118052793}	{'max_depth': 1}	{'C': 17.61608973484947, 'penalty': 'l2'}	{'var_smoothing': 0.9717542629726859}	{'alpha': 8.965294486142403, 'batch_size': 100, 'power_t': 3.73786676470137}
{'min_impurity_decrease': 0.017927188556402164, 'min_samples_leaf': 12}	{'max_depth': 2}	{'C': 7.477694569287493, 'penalty': 'l2'}	{'var_smoothing': 0.9273012958136265}	{'max_depth': 1}	{'C': 11.81110175424462, 'penalty': 'l2'}	{'var_smoothing': 0.990037717827819}	{'alpha': 8.223899806667479, 'batch_size': 100, 'power_t': 1.6632675681011415}
{'min_impurity_decrease': 0.00618002142962545, 'min_samples_leaf': 37}	{'max_depth': 1}	{'C': 6.13797797212703, 'penalty': 'l2'}	{'var_smoothing': 0.9034822145192744}	{'max_depth': 1}	{'C': 15.696202642822453, 'penalty': 'l2'}	{'var_smoothing': 0.8976572265432696}	{'alpha': 7.450857403738018, 'batch_size': 100, 'power_t': 2.2756361227362834}
{'min_impurity_decrease': 0.00337332620613794, 'min_samples_leaf': 11}	{'max_depth': 1}	{'C': 12.648485937908438, 'penalty': 'l2'}	{'var_smoothing': 0.9039504112255635}	{'max_depth': 1}	{'C': 9.042414066023005, 'penalty': 'l2'}	{'var_smoothing': 0.9964346829007859}	{'alpha': 8.249495624263695, 'batch_size': 100, 'power_t': 0.31664028739826333}
{'min_impurity_decrease': 0.031038637716294518, 'min_samples_leaf': 18}	{'max_depth': 1}	{'C': 15.686806624312103, 'penalty': 'l2'}	{'var_smoothing': 0.9564737354866564}	{'max_depth': 1}	{'C': 18.906979209000706, 'penalty': 'l2'}	{'var_smoothing': 0.9294235947326488}	{'alpha': 7.894545206418999, 'batch_size': 100, 'power_t': 3.5823402868934324}
{'min_impurity_decrease': 0.015214402256798567, 'min_samples_leaf': 7}	{'max_depth': 2}	{'C': 15.602782911408271, 'penalty': 'l2'}	{'var_smoothing': 0.567489979564939}	{'max_depth': 1}	{'C': 3.1007499570121864, 'penalty': 'l2'}	{'var_smoothing': 0.8949921407656779}	{'alpha': 2.4411630978443855, 'batch_size': 100, 'power_t': 1.6617735377600684}
{'min_impurity_decrease': 0.020079864725716313, 'min_samples_leaf': 26}	{'max_depth': 1}	{'C': 7.629516723553832, 'penalty': 'l2'}	{'var_smoothing': 0.8836602645774937}	{'max_depth': 1}	{'C': 5.568193392337987, 'penalty': 'l2'}	{'var_smoothing': 0.9460886878557239}	{'alpha': 9.204708015888656, 'batch_size': 300, 'power_t': 4.841122918532122}
{'min_impurity_decrease': 0.002241506671286732, 'min_samples_leaf': 16}	{'max_depth': 1}	{'C': 19.380088955228803, 'penalty': 'l2'}	{'var_smoothing': 0.9695770091838124}	{'max_depth': 1}	{'C': 12.516333599800268, 'penalty': 'l2'}	{'var_smoothing': 0.7322435157360165}	{'alpha': 7.539545209514739, 'batch_size': 100, 'power_t': 3.781016624357691}
{'min_impurity_decrease': 0.007071405168667534, 'min_samples_leaf': 4}	{'max_depth': 2}	{'C': 6.35668382089324, 'penalty': 'l2'}	{'var_smoothing': 0.9948835734268846}	{'max_depth': 1}	{'C': 11.130279672357076, 'penalty': 'l2'}	{'var_smoothing': 0.9693154448324077}	{'alpha': 9.130313369009595, 'batch_size': 100, 'power_t': 3.4418958183652233}
{'min_impurity_decrease': 0.0012177623508806035, 'min_samples_leaf': 36}	{'max_depth': 2}	{'C': 2.372189212154413, 'penalty': 'l2'}	{'var_smoothing': 0.9835880736074251}	{'max_depth': 1}	{'C': 11.943729920160127, 'penalty': 'l2'}	{'var_smoothing': 0.9928723635015974}	{'alpha': 8.370654328684047, 'batch_size': 100, 'power_t': 3.7274458868741496}
{'min_impurity_decrease': 0.02117232049009428, 'min_samples_leaf': 22}	{'max_depth': 3}	{'C': 14.90659034160246, 'penalty': 'l2'}	{'var_smoothing': 0.9903175261239662}	{'max_depth': 1}	{'C': 7.170863734977251, 'penalty': 'l2'}	{'var_smoothing': 0.959487200488637}	{'alpha': 8.053002761201643, 'batch_size': 100, 'power_t': 0.30725800192825736}
{'min_impurity_decrease': 0.04431144516376649, 'min_samples_leaf': 14}	{'max_depth': 2}	{'C': 4.982238897379437, 'penalty': 'l2'}	{'var_smoothing': 0.7622243838906125}	{'max_depth': 1}	{'C': 9.201351636259298, 'penalty': 'l2'}	{'var_smoothing': 0.5823013935626237}	{'alpha': 7.331160016323614, 'batch_size': 100, 'power_t': 3.3007294367939832}
{'min_impurity_decrease': 0.018555518810586827, 'min_samples_leaf': 4}	{'max_depth': 2}	{'C': 13.499283416915839, 'penalty': 'l2'}	{'var_smoothing': 0.9536836962044906}	{'max_depth': 1}	{'C': 8.985543599737762, 'penalty': 'l2'}	{'var_smoothing': 0.8859339800197559}	{'alpha': 6.4408389296469375, 'batch_size': 100, 'power_t': 4.58475441821758}
{'min_impurity_decrease': 0.016277169479527166, 'min_samples_leaf': 6}	{'max_depth': 2}	{'C': 10.63636032803876, 'penalty': 'l1'}	{'var_smoothing': 0.8948804505368295}	{'max_depth': 1}	{'C': 16.914244866484736, 'penalty': 'l2'}	{'var_smoothing': 0.949532313875666}	{'alpha': 7.336297385233006, 'batch_size': 100, 'power_t': 4.779093646379356}
{'min_impurity_decrease': 0.008789271803562539, 'min_samples_leaf': 39}	{'max_depth': 2}	{'C': 13.046352542721612, 'penalty': 'l1'}	{'var_smoothing': 0.9941476871944933}	{'max_depth': 1}	{'C': 4.746885832120254, 'penalty': 'l2'}	{'var_smoothing': 0.9867638957209982}	{'alpha': 5.2703759404492425, 'batch_size': 200, 'power_t': 1.4098986526514312}
{'min_impurity_decrease': 0.0042558382956920165, 'min_samples_leaf': 2}	{'max_depth': 2}	{'C': 6.3640198538574335, 'penalty': 'l2'}	{'var_smoothing': 0.9782456318786913}	{'max_depth': 1}	{'C': 18.910870080127577, 'penalty': 'l2'}	{'var_smoothing': 0.9281780037763482}	{'alpha': 5.954773594853345, 'batch_size': 300, 'power_t': 4.464234237539558}
{'min_impurity_decrease': 0.008997433925436728, 'min_samples_leaf': 23}	{'max_depth': 2}	{'C': 4.936619055601577, 'penalty': 'l2'}	{'var_smoothing': 0.8755819298410642}	{'max_depth': 1}	{'C': 1.5447928334158811, 'penalty': 'l2'}	{'var_smoothing': 0.9960534334205473}	{'alpha': 9.64075910116012, 'batch_size': 100, 'power_t': 4.207320945388759}
{'min_impurity_decrease': 0.003273836979912349, 'min_samples_leaf': 13}	{'max_depth': 1}	{'C': 11.608860584258743, 'penalty': 'l2'}	{'var_smoothing': 0.7844322227170846}	{'max_depth': 1}	{'C': 19.094568717411793, 'penalty': 'l2'}	{'var_smoothing': 0.948120465636748}	{'alpha': 4.897177987482359, 'batch_size': 100, 'power_t': 3.8158460370886647}
{'min_impurity_decrease': 0.003292550570293419, 'min_samples_leaf': 30}	{'max_depth': 2}	{'C': 15.822345027947872, 'penalty': 'l2'}	{'var_smoothing': 0.6898766396695342}	{'max_depth': 1}	{'C': 8.162463958154454, 'penalty': 'l2'}	{'var_smoothing': 0.99365908184901}	{'alpha': 7.600236401697415, 'batch_size': 300, 'power_t': 4.7775272402852345}
{'min_impurity_decrease': 0.002256973311864986, 'min_samples_leaf': 8}	{'max_depth': 2}	{'C': 18.435287565724646, 'penalty': 'l1'}	{'var_smoothing': 0.9287440144242988}	{'max_depth': 1}	{'C': 10.59806434875904, 'penalty': 'l2'}	{'var_smoothing': 0.9365730042321221}	{'alpha': 8.253386868931328, 'batch_size': 100, 'power_t': 2.184943991097453}
