RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.02019798794246912, 'min_samples_leaf': 5}	{'max_depth': 2}	{'C': 1.989002315967564, 'penalty': 'l1'}	{'var_smoothing': 0.49229035449776837}	{'max_depth': 3}	{'C': 1.7226130130095363, 'penalty': 'l1'}	{'var_smoothing': 0.9717542629726859}	{'alpha': 8.965294486142403, 'batch_size': 100, 'power_t': 3.73786676470137}
{'min_impurity_decrease': 0.02852118703420278, 'min_samples_leaf': 5}	{'max_depth': 2}	{'C': 0.05402475314860821, 'penalty': 'l1'}	{'var_smoothing': 0.8269625866224726}	{'max_depth': 3}	{'C': 13.518964796534481, 'penalty': 'l1'}	{'var_smoothing': 0.990037717827819}	{'alpha': 2.0827696040804935, 'batch_size': 300, 'power_t': 1.345477977461238}
{'min_impurity_decrease': 0.024274034406127024, 'min_samples_leaf': 34}	{'max_depth': 3}	{'C': 14.528619951666565, 'penalty': 'l2'}	{'var_smoothing': 0.4057497980799133}	{'max_depth': 3}	{'C': 3.5898621190037603, 'penalty': 'l1'}	{'var_smoothing': 0.009358613907764704}	{'alpha': 3.2060445866557044, 'batch_size': 500, 'power_t': 1.848461096348395}
{'min_impurity_decrease': 0.00337332620613794, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 1.7879804329625848, 'penalty': 'l1'}	{'var_smoothing': 0.7806665788903135}	{'max_depth': 3}	{'C': 4.5334060456403344, 'penalty': 'l1'}	{'var_smoothing': 0.9964346829007859}	{'alpha': 6.559474609281517, 'batch_size': 400, 'power_t': 0.6670898552191458}
{'min_impurity_decrease': 0.031038637716294518, 'min_samples_leaf': 18}	{'max_depth': 3}	{'C': 1.385073321044209, 'penalty': 'l1'}	{'var_smoothing': 0.7079651403571111}	{'max_depth': 3}	{'C': 1.4867568507023188, 'penalty': 'l1'}	{'var_smoothing': 0.9294235947326488}	{'alpha': 6.615122541589533, 'batch_size': 400, 'power_t': 1.7994069138458353}
{'min_impurity_decrease': 0.015214402256798567, 'min_samples_leaf': 7}	{'max_depth': 2}	{'C': 0.7310934659968693, 'penalty': 'l1'}	{'var_smoothing': 0.001984627416002574}	{'max_depth': 3}	{'C': 0.307070117425704, 'penalty': 'l1'}	{'var_smoothing': 0.8949921407656779}	{'alpha': 1.5383217605514412, 'batch_size': 400, 'power_t': 4.2077334297304105}
{'min_impurity_decrease': 0.03385731748964511, 'min_samples_leaf': 8}	{'max_depth': 3}	{'C': 6.356280071681313, 'penalty': 'l2'}	{'var_smoothing': 0.01275817260284894}	{'max_depth': 2}	{'C': 0.017046068076650427, 'penalty': 'l1'}	{'var_smoothing': 0.01067151202244753}	{'alpha': 2.0119325282994387, 'batch_size': 100, 'power_t': 0.34401349027905215}
{'min_impurity_decrease': 0.002241506671286732, 'min_samples_leaf': 16}	{'max_depth': 3}	{'C': 0.5250908943886412, 'penalty': 'l1'}	{'var_smoothing': 0.012868127571340251}	{'max_depth': 3}	{'C': 8.470806186307847, 'penalty': 'l2'}	{'var_smoothing': 0.005622118946120627}	{'alpha': 6.1895218951885225, 'batch_size': 400, 'power_t': 4.976034729696369}
{'min_impurity_decrease': 0.007071405168667534, 'min_samples_leaf': 4}	{'max_depth': 2}	{'C': 6.35668382089324, 'penalty': 'l2'}	{'var_smoothing': 0.0016341864515990651}	{'max_depth': 3}	{'C': 0.3173377940781996, 'penalty': 'l1'}	{'var_smoothing': 0.9693154448324077}	{'alpha': 6.074873999677697, 'batch_size': 500, 'power_t': 2.129108941539404}
{'min_impurity_decrease': 0.03173906498416857, 'min_samples_leaf': 18}	{'max_depth': 3}	{'C': 2.231996892670974, 'penalty': 'l1'}	{'var_smoothing': 0.832238832042882}	{'max_depth': 3}	{'C': 7.956140731886428, 'penalty': 'l1'}	{'var_smoothing': 0.9928723635015974}	{'alpha': 5.330181266603383, 'batch_size': 100, 'power_t': 1.722663731923303}
