RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.05706172853784661, 'min_samples_leaf': 15}	{'max_depth': 3}	{'C': 13.100274765301771, 'penalty': 'l1'}	{'var_smoothing': 0.18836204849738158}	{'max_depth': 3}	{'C': 15.548274001597507, 'penalty': 'l1'}	{'var_smoothing': 0.2415552583635281}	{'alpha': 0.9869121640622517, 'batch_size': 100, 'power_t': 2.3297820101364564}
{'min_impurity_decrease': 0.02682929235912659, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 0.05402475314860821, 'penalty': 'l1'}	{'var_smoothing': 0.2704226170920814}	{'max_depth': 3}	{'C': 12.94305102644398, 'penalty': 'l1'}	{'var_smoothing': 0.17244475307715024}	{'alpha': 2.0827696040804935, 'batch_size': 300, 'power_t': 1.345477977461238}
{'min_impurity_decrease': 0.08968053564943453, 'min_samples_leaf': 11}	{'max_depth': 3}	{'C': 18.87025799915334, 'penalty': 'l1'}	{'var_smoothing': 0.2991720194952575}	{'max_depth': 3}	{'C': 19.257919804207834, 'penalty': 'l1'}	{'var_smoothing': 0.049974018277630476}	{'alpha': 1.9586383849144975, 'batch_size': 500, 'power_t': 3.8548211882939687}
{'min_impurity_decrease': 0.0588114518895398, 'min_samples_leaf': 33}	{'max_depth': 3}	{'C': 5.8175925049558455, 'penalty': 'l2'}	{'var_smoothing': 0.10996450224714004}	{'max_depth': 3}	{'C': 2.0730543745218375, 'penalty': 'l2'}	{'var_smoothing': 0.1290569976574707}	{'alpha': 0.9246038803872217, 'batch_size': 500, 'power_t': 1.2466209140083528}
{'min_impurity_decrease': 0.09556788699587286, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 1.5943524853197732, 'penalty': 'l2'}	{'var_smoothing': 0.15418993572512762}	{'max_depth': 3}	{'C': 15.725910742725505, 'penalty': 'l1'}	{'var_smoothing': 0.12733930748304445}	{'alpha': 0.3764100265389239, 'batch_size': 200, 'power_t': 3.5352483860196298}
{'min_impurity_decrease': 0.09856537618503831, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 0.7310934659968693, 'penalty': 'l1'}	{'var_smoothing': 0.001984627416002574}	{'max_depth': 3}	{'C': 0.307070117425704, 'penalty': 'l1'}	{'var_smoothing': 0.04947787875251585}	{'alpha': 0.4786411707008345, 'batch_size': 300, 'power_t': 3.9488976185634352}
{'min_impurity_decrease': 0.05897124439865226, 'min_samples_leaf': 8}	{'max_depth': 3}	{'C': 19.911297253008552, 'penalty': 'l1'}	{'var_smoothing': 0.01275817260284894}	{'max_depth': 3}	{'C': 0.017046068076650427, 'penalty': 'l1'}	{'var_smoothing': 0.027922895657592532}	{'alpha': 0.5645893032942654, 'batch_size': 500, 'power_t': 2.21423536679896}
{'min_impurity_decrease': 0.07106120275122103, 'min_samples_leaf': 8}	{'max_depth': 3}	{'C': 0.5250908943886412, 'penalty': 'l1'}	{'var_smoothing': 0.012868127571340251}	{'max_depth': 3}	{'C': 0.29292027206628934, 'penalty': 'l2'}	{'var_smoothing': 0.06875188539349851}	{'alpha': 0.508820394989428, 'batch_size': 300, 'power_t': 1.16416451641431}
{'min_impurity_decrease': 0.09048436579347578, 'min_samples_leaf': 44}	{'max_depth': 3}	{'C': 18.450597643963864, 'penalty': 'l2'}	{'var_smoothing': 0.0016341864515990651}	{'max_depth': 3}	{'C': 0.3173377940781996, 'penalty': 'l1'}	{'var_smoothing': 0.3577356879948065}	{'alpha': 0.275446412189653, 'batch_size': 300, 'power_t': 3.5076951033319106}
{'min_impurity_decrease': 0.05868446071736854, 'min_samples_leaf': 18}	{'max_depth': 3}	{'C': 18.95367799626746, 'penalty': 'l2'}	{'var_smoothing': 0.14800000750638853}	{'max_depth': 3}	{'C': 7.563455853406008, 'penalty': 'l1'}	{'var_smoothing': 0.05998797879811368}	{'alpha': 0.5293896845298843, 'batch_size': 300, 'power_t': 1.8348245778203371}
{'min_impurity_decrease': 0.028221377963482588, 'min_samples_leaf': 1}	{'max_depth': 3}	{'C': 14.90659034160246, 'penalty': 'l2'}	{'var_smoothing': 0.2183759629570866}	{'max_depth': 3}	{'C': 0.43901717734256107, 'penalty': 'l1'}	{'var_smoothing': 0.2392723707837543}	{'alpha': 0.09318519509180417, 'batch_size': 300, 'power_t': 4.7659125727093565}
{'min_impurity_decrease': 0.07257917679510131, 'min_samples_leaf': 24}	{'max_depth': 3}	{'C': 18.449161424863274, 'penalty': 'l1'}	{'var_smoothing': 0.028287768756584557}	{'max_depth': 3}	{'C': 10.646846784484694, 'penalty': 'l1'}	{'var_smoothing': 0.13296446805449402}	{'alpha': 2.803260575019495, 'batch_size': 400, 'power_t': 1.8895604847990533}
{'min_impurity_decrease': 0.05281907065760215, 'min_samples_leaf': 3}	{'max_depth': 3}	{'C': 17.199415052712094, 'penalty': 'l2'}	{'var_smoothing': 0.0737363711016109}	{'max_depth': 3}	{'C': 3.6082594169453373, 'penalty': 'l1'}	{'var_smoothing': 0.32326224083763244}	{'alpha': 0.1884352436666284, 'batch_size': 300, 'power_t': 1.0250537414043126}
{'min_impurity_decrease': 0.04538239394183005, 'min_samples_leaf': 47}	{'max_depth': 3}	{'C': 16.40496778709665, 'penalty': 'l2'}	{'var_smoothing': 0.14360865465035455}	{'max_depth': 3}	{'C': 0.09362888589787953, 'penalty': 'l2'}	{'var_smoothing': 0.24287220574480217}	{'alpha': 1.6028847690310213, 'batch_size': 500, 'power_t': 3.1079487632892415}
{'min_impurity_decrease': 0.008789271803562539, 'min_samples_leaf': 39}	{'max_depth': 3}	{'C': 0.557987461428876, 'penalty': 'l2'}	{'var_smoothing': 0.1372514680593071}	{'max_depth': 3}	{'C': 9.385654621111074, 'penalty': 'l1'}	{'var_smoothing': 0.10681279947948662}	{'alpha': 0.25868760272948405, 'batch_size': 400, 'power_t': 0.13043722871098462}
{'min_impurity_decrease': 0.06511405014123016, 'min_samples_leaf': 26}	{'max_depth': 3}	{'C': 0.09187303711643112, 'penalty': 'l1'}	{'var_smoothing': 0.1415150728809732}	{'max_depth': 3}	{'C': 2.645635783834942, 'penalty': 'l1'}	{'var_smoothing': 0.0206448299263775}	{'alpha': 1.2009833072902867, 'batch_size': 500, 'power_t': 4.753123771323759}
{'min_impurity_decrease': 0.08313077138420304, 'min_samples_leaf': 20}	{'max_depth': 3}	{'C': 4.936619055601577, 'penalty': 'l2'}	{'var_smoothing': 0.10056295145530413}	{'max_depth': 3}	{'C': 1.5447928334158811, 'penalty': 'l2'}	{'var_smoothing': 0.022193896302222453}	{'alpha': 1.4019351785817227, 'batch_size': 300, 'power_t': 1.639598766005811}
{'min_impurity_decrease': 0.008539793229868543, 'min_samples_leaf': 21}	{'max_depth': 3}	{'C': 18.633584454597766, 'penalty': 'l2'}	{'var_smoothing': 0.08845230349852072}	{'max_depth': 3}	{'C': 14.212830605003422, 'penalty': 'l2'}	{'var_smoothing': 0.066788028481626}	{'alpha': 0.7035193704675927, 'batch_size': 300, 'power_t': 0.5511967093826471}
{'min_impurity_decrease': 0.055985061670919455, 'min_samples_leaf': 25}	{'max_depth': 3}	{'C': 16.900043973340427, 'penalty': 'l1'}	{'var_smoothing': 0.16509841578979412}	{'max_depth': 3}	{'C': 14.397268849046107, 'penalty': 'l1'}	{'var_smoothing': 0.14408622029148177}	{'alpha': 0.24162856568011787, 'batch_size': 500, 'power_t': 2.457232006567525}
{'min_impurity_decrease': 0.09294061464426111, 'min_samples_leaf': 20}	{'max_depth': 3}	{'C': 18.435287565724646, 'penalty': 'l1'}	{'var_smoothing': 0.02024248273105799}	{'max_depth': 3}	{'C': 5.5273395078149, 'penalty': 'l1'}	{'var_smoothing': 0.05080804329939247}	{'alpha': 2.217737062897608, 'batch_size': 400, 'power_t': 1.5247693506656494}
