RF	END_DT	END_LR	END_NB	PC_DT	PC_LR	PC_NB	MLP
{'min_impurity_decrease': 0.05706172853784661, 'min_samples_leaf': 15}	{'max_depth': 1}	{'C': 1.989002315967564, 'penalty': 'l1'}	{'var_smoothing': 0.973649118052793}	{'max_depth': 2}	{'C': 1.7226130130095363, 'penalty': 'l1'}	{'var_smoothing': 0.9717542629726859}	{'alpha': 8.965294486142403, 'batch_size': 100, 'power_t': 3.73786676470137}
{'min_impurity_decrease': 0.02682929235912659, 'min_samples_leaf': 7}	{'max_depth': 2}	{'C': 0.05402475314860821, 'penalty': 'l1'}	{'var_smoothing': 0.9273012958136265}	{'max_depth': 2}	{'C': 1.7044876148290966, 'penalty': 'l1'}	{'var_smoothing': 0.9555496861755473}	{'alpha': 8.223899806667479, 'batch_size': 100, 'power_t': 1.6632675681011415}
{'min_impurity_decrease': 0.08968053564943453, 'min_samples_leaf': 11}	{'max_depth': 1}	{'C': 1.7927585045699523, 'penalty': 'l1'}	{'var_smoothing': 0.8804990688782621}	{'max_depth': 2}	{'C': 3.5898621190037603, 'penalty': 'l1'}	{'var_smoothing': 0.7211349292646855}	{'alpha': 7.450857403738018, 'batch_size': 100, 'power_t': 2.2756361227362834}
{'min_impurity_decrease': 0.0588114518895398, 'min_samples_leaf': 33}	{'max_depth': 3}	{'C': 1.7879804329625848, 'penalty': 'l1'}	{'var_smoothing': 0.8619162886764044}	{'max_depth': 2}	{'C': 4.5334060456403344, 'penalty': 'l1'}	{'var_smoothing': 0.889620045684224}	{'alpha': 5.884045833060518, 'batch_size': 100, 'power_t': 2.5081815484428875}
{'min_impurity_decrease': 0.09556788699587286, 'min_samples_leaf': 7}	{'max_depth': 3}	{'C': 1.385073321044209, 'penalty': 'l1'}	{'var_smoothing': 0.7079651403571111}	{'max_depth': 2}	{'C': 1.4867568507023188, 'penalty': 'l1'}	{'var_smoothing': 0.7009477553754113}	{'alpha': 7.894545206418999, 'batch_size': 100, 'power_t': 3.5823402868934324}
{'min_impurity_decrease': 0.09856537618503831, 'min_samples_leaf': 10}	{'max_depth': 3}	{'C': 0.7310934659968693, 'penalty': 'l1'}	{'var_smoothing': 0.567489979564939}	{'max_depth': 2}	{'C': 0.307070117425704, 'penalty': 'l1'}	{'var_smoothing': 0.8949921407656779}	{'alpha': 2.4411630978443855, 'batch_size': 100, 'power_t': 1.6617735377600684}
{'min_impurity_decrease': 0.05897124439865226, 'min_samples_leaf': 8}	{'max_depth': 1}	{'C': 1.2880627978322512, 'penalty': 'l1'}	{'var_smoothing': 0.7266564385929378}	{'max_depth': 2}	{'C': 0.017046068076650427, 'penalty': 'l1'}	{'var_smoothing': 0.7096861574968162}	{'alpha': 2.0119325282994387, 'batch_size': 100, 'power_t': 0.34401349027905215}
{'min_impurity_decrease': 0.07106120275122103, 'min_samples_leaf': 8}	{'max_depth': 2}	{'C': 0.5250908943886412, 'penalty': 'l1'}	{'var_smoothing': 0.7863226215524979}	{'max_depth': 2}	{'C': 4.300747250399169, 'penalty': 'l1'}	{'var_smoothing': 0.7322435157360165}	{'alpha': 5.022408128507309, 'batch_size': 100, 'power_t': 0.9303922723850417}
{'min_impurity_decrease': 0.09048436579347578, 'min_samples_leaf': 44}	{'max_depth': 1}	{'C': 3.1334607115932442, 'penalty': 'l1'}	{'var_smoothing': 0.5328037971265944}	{'max_depth': 1}	{'C': 0.3173377940781996, 'penalty': 'l1'}	{'var_smoothing': 0.5768384170265205}	{'alpha': 9.130313369009595, 'batch_size': 100, 'power_t': 3.4418958183652233}
{'min_impurity_decrease': 0.05868446071736854, 'min_samples_leaf': 18}	{'max_depth': 1}	{'C': 2.231996892670974, 'penalty': 'l1'}	{'var_smoothing': 0.7713665538992149}	{'max_depth': 2}	{'C': 6.682849622855359, 'penalty': 'l1'}	{'var_smoothing': 0.714716742047972}	{'alpha': 8.370654328684047, 'batch_size': 100, 'power_t': 3.7274458868741496}
